"id","name","title","gender","birth_date","death_date","family_self","family_parents","dist_to_I1208","dist_to_I1128","dist_to_I610","dist_to_I3012","dist_to_I3023","dist_to_I3034","dist_to_I452","dist_to_I444","dist_to_I603","dist_to_I52","min_offset_to_royal","min_dist_to_royal"
"I114","Nicholas Charles Edwar (Windsor)","Lord","M",1970,,"","F31",13,10,9,15,10,18,7,8,9,5,5,5
"I115","William Arthur Phili (Windsor)","Prince","M",1982,,"","F16",13,10,8,15,10,18,8,8,8,2,5,2
"I116","Henry Charles Alber (Windsor)","Prince","M",1984,,"","F16",13,10,8,15,10,18,8,8,8,2,5,2
"I117","(Frederick) Christian Charles","Prince","M",1831,1917,"F32","",10,10,6,14,10,17,6,7,6,6,5.5,6
"I118","Marie Louise","Princess","F",1872,1956,"F33","F32",10,10,6,14,10,17,6,7,6,6,5.5,6
"I119","Aribert of Anhalt",,"M",1864,1933,"F33","",11,11,7,15,11,18,7,8,7,7,5.5,7
"I120","Louise Margaret of Prussia","Duchess","F",1860,1917,"F34","F68",10,8,3,14,8,17,6,7,3,6,5.5,3
"I121","Margaret of Sweden","Crown Princess","F",1882,1920,"F35","F34",10,7,2,14,7,17,6,6,2,6,5.5,2
"I122","Arthur of Connaught","Duke","M",1883,1938,"F36","F34",10,9,4,14,9,17,6,7,4,6,5.5,4
"I123","Patricia ","Lady Ramsay","F",1886,1974,"F37","F34",10,9,4,14,9,17,6,7,4,6,5.5,4
"I124","Gustav VI Adolf","King of Sweden","M",1882,1973,"F35 - F77","F155",11,6,2,13,6,17,5,6,2,5,5.5,2
"I125","Alexandra ","Duchess of Fife","F",1891,1959,"F36","F29",11,8,5,15,8,18,5,8,5,5,5.5,5
"I126","Alexander  (Ramsay)","Admiral Sir","M",1881,1972,"F37","F962",11,10,5,15,10,18,7,8,5,7,5.5,5
"I127","Isabella of France",,"F",1292,1358,"F92","F794",23,23,22,25,23,27,22,23,22,21,5,21
"I129","Charles Edward","Duke","M",1884,1954,"F141","F5",7,10,6,13,10,17,6,7,6,6,5.5,6
"I130","George III  (Hanover)","King of England","M",1738,1820,"F39","F105",9,8,6,10,8,14,6,7,6,5,5,5
"I131","(Sophia) Charlotte",,"F",1744,1818,"F39","F959",9,8,6,10,8,14,6,7,6,5,5,5
"I132","Adolphus of Cambridge (Hanover)","Duke","M",1774,1850,"F40","F39",10,9,7,11,9,15,7,8,7,4,5,4
"I133","Edward Augustus (Hanover)","Duke of Kent","M",1767,1820,"F42","F39",9,8,5,11,8,15,5,6,5,5,5.5,5
"I134","Augusta of Hesse-Cassel","Princess","F",1797,1889,"F40","F97",10,8,7,12,8,16,7,8,8,4,5,4
"I135","Augusta Caroline",,"F",1822,1916,"F89","F40",11,9,8,12,9,16,8,9,8,5,5,5
"I136","Mary Adelaide ""Fat Mary""",,"F",1833,1897,"F41","F40",9,9,8,12,9,16,6,9,8,3,5,3
"I137","Francis ","Duke of Teck","M",1837,1900,"F41","F98",9,9,8,13,9,15,6,9,8,3,5,3
"I138","Victoria Mary Louisa",,"F",1786,1861,"F1409 - F42","F1147",9,7,5,12,7,16,5,6,5,5,5.5,5
"I139","Ernest I of Saxe-Coburg- Saalfeld","Duke","M",1784,1844,"F43 - F1368","F1147",9,7,5,13,7,16,5,6,5,5,5.5,5
"I140","Louise of Saxe-Coburg- Altenburg",,"F",1800,1831,"F43","",9,8,5,13,8,16,5,6,5,5,5.5,5
"I141","George IV  (Hanover)","King of England","M",1762,1830,"F44 - F45","F39",10,7,7,11,7,15,7,8,7,6,5,6
"I142","Maria Anne (Fitzherbert)",,"F",1756,1837,"F44","",11,8,8,12,8,16,8,9,8,7,5,7
"I143","Caroline Amelia of Brunswick",,"F",1768,1821,"F45","F501",11,7,8,12,7,16,8,9,8,7,3.33333333333333,7
"I144","Charlotte Augusta (Hanover)","Princess","F",1796,1817,"F80","F45",11,6,8,12,6,15,8,9,8,7,2.5,6
"I145","Claude George (Bowes-Lyon)","Earl of Strath.","M",1855,1944,"F46","F56",13,10,9,16,10,19,7,9,9,2,5,2
"I146","Cecilia Nina (Cavendish-Bentin)","Countess of S.","F",1862,1938,"F46","F71",13,10,9,16,10,19,7,9,9,2,5,2
"I147","Margarita  (Mountbatten)",,"F",1905,1981,"F166","F28",11,8,6,13,8,16,7,6,6,3,5,3
"I148","Theodora  (Mountbatten)",,"F",1906,1960,"F167","F28",11,8,6,13,8,16,7,6,6,3,5,3
"I149","Vladimir  (Romanov)","Grand Duke","M",1847,1909,"F47","F11",9,9,8,11,9,14,8,7,8,6,5,6
"I150","Alexis  (Romanov)","Grand Duke","M",1850,1908,"","F11",9,9,8,11,9,14,8,8,8,7,5,7
"I151","Serge Alexandrovich (Romanov)","Grand Duke","M",1857,1905,"F144","F11",9,9,7,11,9,14,7,8,7,6,5,6
"I152","Paul Alexandrovich (Romanov)","Grand Duke","M",1860,1919,"F50 - F499","F11",9,8,6,11,8,14,7,6,6,5,5,5
"I153","George Alexandrovich (Romanov)","Grand Duke","M",1871,1899,"","F9",10,7,6,12,7,15,6,7,9,6,5,6
"I154","Xenia  (Romanov)","Grand Duchess","F",1875,1960,"F51","F9",10,7,6,12,7,15,6,7,9,6,5,6
"I155","Michael ""Mischa"" Alexandrovic (Romanov)","Grand Duke","M",1878,1918,"F498","F9",10,7,6,12,7,15,6,7,7,6,5,6
"I156","Olga Alexandrovna (Romanov)","Grand Duchess","F",1882,1960,"F500 - F592","F9",10,7,6,12,7,15,6,7,9,6,5,6
"I157","Marie  (Pavlovna)","Grand Duchess","F",1854,1920,"F47","F1270",10,9,8,12,9,15,8,7,8,6,5,6
"I158","Cyril Vladimirovitch (Romanov)","Grand Duke","M",1876,1938,"F213","F47",10,10,7,12,10,15,7,8,7,7,5.5,7
"I159","Boris  (Romanov)","Grand Duke","M",1877,1943,"F1379","F47",10,10,9,12,10,15,9,8,9,7,5,7
"I160","Andrei (Andrew) Vladimirovic (Romanov)","Grand Duke","M",1879,1956,"F48","F47",10,10,9,12,10,15,9,8,9,7,5,7
"I161","Mathilde (Maria) (Krzesinska)",,"F",1872,1971,"F48","F1380",11,11,10,13,11,16,10,9,10,8,5,8
"I162","Frederick William III","King of Prussia","M",1770,1840,"F145 - F179","F200",6,7,6,8,7,11,6,6,8,6,6.4,6
"I163","Alexandra of Greece","Princess","F",1870,1891,"F50","F75",10,7,6,12,7,15,6,5,6,4,5,4
"I164","Dmitri Pavlovich (Romanov)","Grand Duke","M",1891,1941,"F511","F50",10,8,7,12,8,15,7,6,7,5,5,5
"I165","Nicholas  (Romanov)",,"M",1850,1918,"F1267","F112",9,9,8,11,9,14,8,6,9,5,5,5
"I166","Irina ",,"F",1895,,"F52","F51",10,8,7,12,8,15,7,8,10,7,5,7
"I167","Felix  (Yussoupov)",,"M",1887,,"F52","",11,9,8,13,9,16,8,9,11,8,5,8
"I168","Sarah Margaret (Ferguson)","Duchess of York","F",1959,,"F53","F54",13,10,8,15,10,18,8,8,8,2,5,2
"I169","Ronald Ivor (Ferguson)","Major","M",1931,,"F54 - F1384","F303",14,11,9,16,11,19,9,9,9,3,5,3
"I170","Susan Mary (Wright)",,"F",1937,,"F54 - F311","F309",14,11,9,16,11,19,9,9,9,3,5,3
"I171","Teackle Wallis (Warfield)",,"M",1871,,"F55","",13,10,9,16,10,19,7,10,9,5,5,5
"I172","Alice  (Montague)",,"F",1871,,"F55","",13,10,9,16,10,19,7,10,9,5,5,5
"I173","Violet Hyacinth (Bowes-Lyon)",,"F",1882,1893,"","F46",14,11,10,17,11,20,8,10,10,3,5,3
"I174","Mary Frances (Bowes-Lyon)",,"F",1883,1961,"F60","F46",14,11,10,17,11,20,8,10,10,3,5,3
"I175","Patrick  (Bowes-Lyon)",,"M",1884,1949,"F61","F46",14,11,10,17,11,20,8,10,10,3,5,3
"I176","John Herbert (Bowes-Lyon)",,"M",1886,1930,"F62","F46",14,11,10,17,11,20,8,10,10,3,5,3
"I177","Alexander Francis (Bowes-Lyon)",,"M",1887,1911,"","F46",14,11,10,17,11,20,8,10,10,3,5,3
