"source","target","family_id","type","min_dist_to_royal"
"I306","I307","F99","wife-husband",5
"I307","I308","F99","father-child",6
"I306","I308","F99","mother-child",5
"I96","I309","F100","wife-husband",6
"I309","I438","F100","father-child",6
"I96","I438","F100","mother-child",6
"I309","I437","F100","father-child",6
"I96","I437","F100","mother-child",6
"I309","I436","F100","father-child",6
"I96","I436","F100","mother-child",6
"I309","I1096","F100","father-child",6
"I96","I1096","F100","mother-child",6
"I309","I1097","F100","father-child",6
"I96","I1097","F100","mother-child",6
"I309","I1098","F100","father-child",6
"I96","I1098","F100","mother-child",6
"I314","I244","F101","wife-husband",5
"I244","I315","F101","father-child",4
"I314","I315","F101","mother-child",5
"I316","I291","F102","wife-husband",5
"I291","I982","F102","father-child",4
"I316","I982","F102","mother-child",5
"I319","I107","F103","wife-husband",5
"I107","I320","F103","father-child",4
"I319","I320","F103","mother-child",5
"I107","I801","F103","father-child",4
"I319","I801","F103","mother-child",5
"I322","I321","F104","wife-husband",7
"I321","I323","F104","father-child",7
"I322","I323","F104","mother-child",7
"I321","I324","F104","father-child",7
"I322","I324","F104","mother-child",7
"I321","I325","F104","father-child",7
"I322","I325","F104","mother-child",7
"I321","I326","F104","father-child",7
"I322","I326","F104","mother-child",7
"I321","I327","F104","father-child",7
"I322","I327","F104","mother-child",7
"I321","I328","F104","father-child",7
"I322","I328","F104","mother-child",7
"I321","I329","F104","father-child",7
"I322","I329","F104","mother-child",7
"I321","I330","F104","father-child",7
"I322","I330","F104","mother-child",7
"I321","I331","F104","father-child",7
"I322","I331","F104","mother-child",7
"I332","I323","F105","wife-husband",6
"I323","I333","F105","father-child",6
"I332","I333","F105","mother-child",6
"I323","I130","F105","father-child",6
"I332","I130","F105","mother-child",6
"I323","I334","F105","father-child",6
"I332","I334","F105","mother-child",6
"I323","I335","F105","father-child",6
"I332","I335","F105","mother-child",6
"I323","I336","F105","father-child",6
"I332","I336","F105","mother-child",6
"I323","I337","F105","father-child",6
"I332","I337","F105","mother-child",6
"I323","I338","F105","father-child",6
"I332","I338","F105","mother-child",6
"I323","I339","F105","father-child",6
"I332","I339","F105","mother-child",6
"I323","I340","F105","father-child",6
"I332","I340","F105","mother-child",6
"I342","I341","F106","wife-husband",8
"I341","I321","F106","father-child",8
"I342","I321","F106","mother-child",8
"I341","I343","F106","father-child",8
"I342","I343","F106","mother-child",8
"I331","I344","F107","wife-husband",7
"I344","I1637","F107","father-child",7
"I331","I1637","F107","mother-child",7
"I344","I1638","F107","father-child",7
"I331","I1638","F107","mother-child",7
"I344","I1639","F107","father-child",7
"I331","I1639","F107","mother-child",7
"I344","I764","F107","father-child",7
"I331","I764","F107","mother-child",7
"I344","I1640","F107","father-child",7
"I331","I1640","F107","mother-child",7
"I346","I345","F108","wife-husband",5
"I345","I225","F108","father-child",5
"I346","I225","F108","mother-child",5
"I348","I347","F109","wife-husband",4
"I347","I224","F109","father-child",4
"I348","I224","F109","mother-child",4
"I347","I100","F109","father-child",4
"I348","I100","F109","mother-child",4
"I347","I486","F109","father-child",4
"I348","I486","F109","mother-child",4
"I347","I25","F109","father-child",4
"I348","I25","F109","mother-child",4
"I347","I487","F109","father-child",4
"I348","I487","F109","mother-child",4
"I350","I349","F110","wife-husband",5
"I349","I493","F110","father-child",5
"I350","I493","F110","mother-child",5
"I349","I357","F110","father-child",5
"I350","I357","F110","mother-child",5
"I349","I347","F110","father-child",5
"I350","I347","F110","mother-child",5
"I349","I45","F110","father-child",5
"I350","I45","F110","mother-child",5
"I352","I351","F111","wife-husband",5
"I351","I348","F111","father-child",5
"I352","I348","F111","mother-child",5
"I354","I353","F112","wife-husband",4
"I353","I165","F112","father-child",4
"I354","I165","F112","mother-child",4
"I353","I228","F112","father-child",4
"I354","I228","F112","mother-child",4
"I353","I2671","F112","father-child",4
"I354","I2671","F112","mother-child",4
"I353","I2677","F112","father-child",4
"I354","I2677","F112","mother-child",4
"I356","I355","F113","wife-husband",5
"I355","I354","F113","father-child",5
"I356","I354","F113","mother-child",5
"I358","I357","F114","wife-husband",5
"I357","I22","F114","father-child",5
"I358","I22","F114","mother-child",5
"I357","I497","F114","father-child",5
"I358","I497","F114","mother-child",5
"I357","I498","F114","father-child",5
"I358","I498","F114","mother-child",5
"I357","I499","F114","father-child",5
"I358","I499","F114","mother-child",5
"I361","I360","F115","wife-husband",4
"I360","I207","F115","father-child",4
"I361","I207","F115","mother-child",4
"I363","I362","F116","wife-husband",4
"I362","I208","F116","father-child",4
"I363","I208","F116","mother-child",4
"I365","I364","F117","wife-husband",4
"I364","I183","F117","father-child",4
"I365","I183","F117","mother-child",4
"I367","I366","F118","wife-husband",4
"I366","I239","F118","father-child",4
"I367","I239","F118","mother-child",4
"I369","I368","F119","wife-husband",4
"I368","I93","F119","father-child",4
"I369","I93","F119","mother-child",4
"I371","I370","F120","wife-husband",5
"I370","I368","F120","father-child",5
"I371","I368","F120","mother-child",5
"I373","I372","F121","wife-husband",6
"I372","I371","F121","father-child",6
"I373","I371","F121","mother-child",6
"I375","I374","F122","wife-husband",7
"I374","I373","F122","father-child",7
"I375","I373","F122","mother-child",7
"I377","I376","F123","wife-husband",7
"I376","I372","F123","father-child",7
"I377","I372","F123","mother-child",7
"I379","I378","F124","wife-husband",6
"I378","I370","F124","father-child",6
"I379","I370","F124","mother-child",6
"I381","I380","F125","wife-husband",7
"I380","I379","F125","father-child",7
"I381","I379","F125","mother-child",7
"I383","I382","F126","wife-husband",7
"I382","I378","F126","father-child",7
"I383","I378","F126","mother-child",7
"I385","I384","F127","wife-husband",5
"I384","I367","F127","father-child",5
"I385","I367","F127","mother-child",5
"I384","I1713","F127","father-child",5
"I385","I1713","F127","mother-child",5
"I384","I1714","F127","father-child",5
"I385","I1714","F127","mother-child",5
"I387","I386","F128","wife-husband",6
"I386","I384","F128","father-child",6
"I387","I384","F128","mother-child",6
"I389","I388","F129","wife-husband",6
"I388","I385","F129","father-child",6
"I389","I385","F129","mother-child",6
"I391","I390","F130","wife-husband",5
"I390","I369","F130","father-child",5
"I391","I369","F130","mother-child",5
"I393","I392","F131","wife-husband",6
"I392","I390","F131","father-child",6
"I393","I390","F131","mother-child",6
"I395","I394","F132","wife-husband",6
"I394","I391","F132","father-child",6
"I395","I391","F132","mother-child",6
"I397","I396","F133","wife-husband",5
"I396","I1733","F133","father-child",5
"I397","I1733","F133","mother-child",5
"I396","I366","F133","father-child",5
"I397","I366","F133","mother-child",5
"I396","I1734","F133","father-child",5
"I397","I1734","F133","mother-child",5
"I399","I398","F134","wife-husband",6
"I398","I396","F134","father-child",6
"I399","I396","F134","mother-child",6
"I401","I400","F135","wife-husband",6
"I400","I397","F135","father-child",6
