"hip","proper","ra","dec","mag","t_eff"
7818,"",1.676337,40.577049,4.96,10797
7819,"",1.676368,8.760769,6.34,6724
7825,"",1.677674,43.297687,5.63,7685
7874,"",1.688435,25.745712,6.2,6461
7879,"",1.689256,-79.1482,6.33,4954
7884,"",1.690526,5.487613,4.45,4246
7886,"",1.69092,-38.132827,6.2,6710
7906,"",1.694233,30.04712,5.97,4821
7916,"",1.695787,-11.324669,5.75,6532
7918,"",1.696383,42.613369,4.96,5831
7921,"",1.696655,-60.789339,5.7,4382
7941,"",1.700833,-36.832305,5.7,9680
7943,"",1.700968,35.245707,5.63,10589
7955,"",1.702389,-32.32697,5.25,4766
7963,"",1.704915,58.627739,6.35,9958
7965,"",1.705688,68.043021,5.57,10375
7978,"",1.708125,-53.740834,5.52,6079
7981,"",1.70827,20.268504,5.24,5198
7984,"",1.708969,66.107959,9.01,4519
7999,"",1.712086,-3.6902,4.98,4196
8016,"",1.715493,70.622526,5.18,9873
8020,"",1.7162,61.421073,6.33,9352
8044,"",1.721242,45.322649,6.33,4811
8046,"",1.722151,60.551332,5.78,9680
8068,"",1.727675,50.688732,4.01,11615
8086,"",1.730596,32.192015,6.32,5099
8094,"",1.731888,-4.765514,6.2,3919
8102,"",1.734479,-15.93748,3.49,5484
8115,"",1.738317,57.536617,6.18,8217
8127,"",1.740702,46.139692,6.32,4129
8143,"",1.745466,-6.766164,6.45,5133
8148,"",1.746156,57.089226,6.25,8795
8159,"",1.748841,20.083149,6.27,5504
8198,"",1.756564,9.157736,4.26,4964
8209,"",1.760763,-25.05261,5.29,6752
8230,"",1.766461,-5.733299,5.37,3958
8233,"",1.766959,-27.348831,6.38,6890
8240,"",1.76832,-50.816256,5.49,3741
8241,"",1.768392,-53.522037,5.04,9128
8320,"",1.787972,-41.759926,6.18,3905
8362,"",1.795668,63.852501,5.63,5276
8366,"",1.796291,-80.176311,6.05,7027
8369,"",1.796602,-37.159483,6.33,4819
8370,"",1.79667,46.22975,6.33,6452
8387,"",1.803038,16.955551,5.86,10177
8404,"",1.807227,3.685447,5.91,4908
8423,"",1.810808,37.95287,5.94,4898
